model,Recall@5,Recall@10,Recall@50,NDCG@5,NDCG@10,NDCG@50,MRR@5,MRR@10,MRR@50
ENS_BPR__CTR_meta_human_rrf_k120,0.02266562336984872,0.04452129443326627,0.04452129443326627,0.01721937552510849,0.024885887713673234,0.024885887713673234,0.01954225352112676,0.023823496534764135,0.023823496534764135
ENS_BPR__CTR_meta_human_rrf_k60,0.02266562336984872,0.04452129443326627,0.04452129443326627,0.017250913564783716,0.02491742575334846,0.02491742575334846,0.01960093896713615,0.02388218198077353,0.02388218198077353
ENS_BPR__CTR_meta_human_rrf_k90,0.02266562336984872,0.04452129443326627,0.04452129443326627,0.01721937552510849,0.024885887713673234,0.024885887713673234,0.01954225352112676,0.023823496534764135,0.023823496534764135
ENS_BPR__CTR_l_synth_aspect_wBorda_0.3_0.7,0.03183206763173405,0.044366362092455494,0.044366362092455494,0.02527442104508885,0.028918931015269204,0.028791552491330443,0.02832550860719875,0.030610514941500855,0.030610514941500855
ENS_BPR__CTR_l_synth_dense_wBorda_0.3_0.7,0.030831326341889724,0.04433981391449887,0.04433981391449887,0.025889131794344933,0.030168410653910675,0.030105940978353275,0.030868544600938963,0.03345303301289217,0.03345303301289217
CTR_meta_human,0.03679670616290335,0.04376960415692809,0.12547523088201368,0.029553570777720015,0.03131045432488177,0.051135628055796176,0.03513302034428795,0.036481854087487886,0.04143873050711499
ENS_BPR__CTR_all_reviews_text_wBorda_0.1_0.9,0.030406513152992025,0.04365875387002147,0.04365875387002147,0.024725908759950194,0.028878385359757883,0.02887340471132932,0.028834115805946792,0.031884361725911026,0.031884361725911026
ENS_BPR__CTR_m_synth_aspect_rrf_k10,0.026655638687699476,0.043604848566857465,0.043604848566857465,0.018627453252482513,0.024563346430920154,0.02449648485282365,0.019464006259780908,0.02274200760116253,0.02274200760116253
ENS_BPR__CTR_l_synth_aspect_rrf_k30,0.025470243488219767,0.04352846433554365,0.04352846433554365,0.01737995903036452,0.02381689738379567,0.02374764311149466,0.01791862284820031,0.021417393248379164,0.021417393248379164
ENS_BPR__CTR_meta_only_wBorda_0.3_0.7,0.03184883490202244,0.043480957069726524,0.043480957069726524,0.02685318052743118,0.030360891095417217,0.030202094569996864,0.03151408450704225,0.03391599597585513,0.03391599597585513
ENS_BPR__CTR_s_synth_aspect_wBorda_0.3_0.7,0.032125494861781,0.04341388798857294,0.04341388798857294,0.026094344389712004,0.029212295589089204,0.029085414840266065,0.02992957746478873,0.03185734779044638,0.03185734779044638
CTR_s_synth_aspect,0.03091405958344431,0.04340753897833217,0.12692611454657415,0.02597998056196629,0.029724736165949037,0.049593312394251486,0.02981220657276995,0.03242277740517177,0.03749689834272453
ENS_BPR__CTR_l_synth_aspect_rrf_k10,0.025579738844193997,0.04297607593104257,0.04297607593104257,0.018083148413306636,0.024054017086146042,0.023954645458015317,0.01905320813771518,0.022063398911990464,0.022063398911990464
ENS_BPR__CTR_meta_only_rrf_k120,0.023954202799643866,0.04261557961984203,0.04261557961984203,0.015376164120735758,0.022182397027691234,0.022115452569690185,0.015453834115805948,0.019160798122065732,0.019160798122065732
ENS_BPR__CTR_meta_only_rrf_k60,0.023954202799643866,0.04261557961984203,0.04261557961984203,0.015995182652607902,0.022801415559563384,0.022734471101562327,0.016568857589984352,0.02027582159624413,0.02027582159624413
